ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
guru1262,Gurune,Africa,,,guru1262,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239/fare1241,atla1278,Atlantic-Congo,fare1241,Farefare,dialect,
moss1236,Mossi,Africa,10.4524,-1.17278,moss1236,mos,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238,atla1278,Atlantic-Congo,moss1236,Mossi,language,not endangered
kant1249,Kantosi,Africa,10.9703,-1.92807,kant1249,xkt,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238,atla1278,Atlantic-Congo,kant1249,Kantosi,language,shifting
yaad1238,Yaadré,Africa,,,yaad1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238/moss1236,atla1278,Atlantic-Congo,moss1236,Mossi,dialect,
yana1270,Yana (Mossi),Africa,,,yana1270,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238/moss1236,atla1278,Atlantic-Congo,moss1236,Mossi,dialect,
ouap1235,Ouapadoupou,Africa,,,ouap1235,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238/moss1236,atla1278,Atlantic-Congo,moss1236,Mossi,dialect,
zaor1238,Zaore,Africa,,,zaor1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238/moss1236,atla1278,Atlantic-Congo,moss1236,Mossi,dialect,
yaan1236,Yaande,Africa,,,yaan1236,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238/moss1236,atla1278,Atlantic-Congo,moss1236,Mossi,dialect,
sare1239,Saremdé,Africa,,,sare1239,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238/moss1236,atla1278,Atlantic-Congo,moss1236,Mossi,dialect,
taol1236,Taolendé,Africa,,,taol1236,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/moss1238/moss1236,atla1278,Atlantic-Congo,moss1236,Mossi,dialect,
