"","LID","Glottocode"
"1034",1212,"adyg1241"
"1035",1213,"dagb1246"
"1036",1214,"dayy1236"
"1037",1215,"darf1239"
"1038",1216,"sout3123"
"1039",1217,"teda1241"
"1040",1218,"aleu1260"
"1041",1219,"deni1241"
"1042",1220,"nyis1236"
"1043",1221,"nort3139"
"1044",1222,"nort3139"
"1045",1223,"nort3139"
"1046",1224,"nucl1235"
"1047",1225,"dars1235"
"1048",1226,"tait1250"
"1049",1227,"bava1246"
"1050",1228,"bava1246"
"1051",1229,"band1339"
"1052",1230,"band1339"
"1053",1231,"band1339"
"1054",1232,"band1339"
"1055",1233,"bari1284"
"1056",1234,"idaa1241"
"1057",1235,"basq1248"
"1058",1236,"basq1248"
"1059",1237,"basq1248"
"1060",1238,"basq1248"
"1061",1239,"basq1248"
"1062",1240,"basq1248"
"1063",1241,"basq1248"
"1064",1242,"basq1248"
"1065",1243,"basq1248"
"1066",1244,"basq1248"
"1067",1245,"cari1279"
"1068",1246,"cari1279"
"1069",1247,"minn1241"
"1070",1248,"minn1241"
"1071",1249,"minn1241"
"1072",1250,"minn1241"
"1073",1251,"mand1415"
"1074",1252,"chip1241"
"1075",1253,"west1510"
"1076",1254,"chal1275"
"1077",1255,"cree1270"
"1078",1256,"kash1274"
"1079",1257,"sout2986"
"1080",1258,"west2644"
"1081",1259,"blow1238"
"1082",1260,"kumi1248"
"1083",1261,"kumi1248"
"1084",1262,"jaru1254"
"1085",1263,"dido1241"
"1086",1264,"kami1255"
"1087",1265,"toro1252"
"1088",1266,"guad1242"
"1089",1267,"guad1242"
"1090",1268,"dhuw1249"
"1091",1270,"dutc1256"
"1092",1271,"dutc1256"
"1093",1272,"dege1246"
"1094",1273,"comm1246"
"1095",1274,"tuva1244"
"1096",1275,"deor1238"
"1097",1276,"desa1247"
"1098",1277,"east2534"
"1099",1278,"east2534"
"1100",1279,"east2534"
"1101",1280,"west2618"
"1102",1281,"kala1399"
"1103",1282,"kala1399"
"1104",1284,"cent2128"
"1105",1285,"cent2127"
